ID,Var,Plot,Pop,Add,Garden,OrigSize,Flow14,FlowNo14,Dayofyear14,Alive14,Size14,Flow15,FlowNo15,Dayofyear15,Alive15,Size15,Flow16,FlowNo16,Dayofyear16,Alive16,Size16
257B,Southern,I,C,1,RAUMA,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260B,Northern,I,J,1,RAUMA,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265B,Southern,I,B,1,RAUMA,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266B,Northern,I,J,1,RAUMA,0.114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267B,Northern,I,H,1,RAUMA,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268B,Southern,I,E,1,RAUMA,20.197,1,11,141,1,7.134,0,0,0,1,20.906,1,11,137,1,14.332
269B,Southern,I,E,1,RAUMA,12.501,1,5,139,1,6.623,0,0,0,1,15.707,1,9,134,1,6.327
270B,Southern,I,C,1,RAUMA,12.463,1,3,137,1,6.577,0,0,0,1,17.362,0,0,0,1,0.403
375B,Northern,M,I,1,OULU,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398B,Northern,N,G,1,OULU,0.272,0,0,0,1,0.244,0,0,0,1,0.544,0,0,0,1,0.082
402B,Northern,N,I,1,OULU,0.102,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.578
414B,Northern,N,G,1,OULU,0.138,0,0,0,1,0.153,0,0,0,1,0.22,0,0,0,0,0
417B,Southern,N,A,1,OULU,0.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427B,Southern,O,C,1,OULU,7.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428B,Northern,O,I,1,OULU,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437B,Southern,O,A,1,OULU,0.347,0,0,0,1,1.113,0,0,0,1,1.74,0,0,0,1,1.111
439B,Northern,O,G,1,OULU,0.188,0,0,0,1,0.082,0,0,0,1,0,0,0,0,1,0.091
441B,Northern,O,G,1,OULU,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445B,Northern,O,F,1,OULU,0.252,0,0,0,1,0.099,0,0,0,0,0,0,0,0,0,0
456B,Northern,P,F,1,SVANVIK,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457B,Southern,P,C,1,SVANVIK,0.236,0,0,0,1,5.019,0,0,0,1,6.298,0,0,0,1,1.641
469B,Northern,P,H,1,SVANVIK,0.629,0,0,0,1,0,0,0,0,1,2.947,1,3,154,1,2.024
471B,Southern,P,E,1,SVANVIK,1.073,0,0,0,1,16.073,0,0,0,1,3.053,1,2,152,1,1.07
490B,Northern,Q,F,1,SVANVIK,0.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494B,Southern,Q,E,1,SVANVIK,0.573,0,0,0,1,4.697,1,2,0,1,0,1,1,1,1,0.812
500B,Southern,Q,E,1,SVANVIK,0.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511B,Southern,R,E,1,SVANVIK,0.343,0,0,0,1,0.669,0,0,0,1,0.882,0,0,0,1,1.473
512B,Northern,R,F,1,SVANVIK,0.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513B,Northern,R,G,1,SVANVIK,0.36,0,0,0,1,0.752,0,0,0,1,0.299,0,0,0,1,0.518
527B,Southern,R,B,1,SVANVIK,0.366,0,0,0,1,0,0,0,0,1,2.794,1,2,151,1,2.987
531B,Northern,R,G,1,SVANVIK,1.837,0,0,0,1,3.709,0,0,0,1,6.12,1,1,154,1,2.555
538B,Northern,R,F,1,SVANVIK,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Northern,A,F,0,TARTU,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Northern,A,H,0,TARTU,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Southern,A,C,0,TARTU,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Southern,A,E,0,TARTU,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Southern,A,E,0,TARTU,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Southern,A,B,0,TARTU,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Northern,A,F,0,TARTU,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Northern,A,H,0,TARTU,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Southern,A,B,0,TARTU,0.046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Southern,A,B,0,TARTU,0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Northern,A,H,0,TARTU,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Northern,A,F,0,TARTU,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Northern,A,F,0,TARTU,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Northern,A,K,0,TARTU,0.099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Northern,A,K,0,TARTU,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Northern,A,F,0,TARTU,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Southern,A,C,0,TARTU,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Northern,A,H,0,TARTU,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Southern,A,B,0,TARTU,0.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Southern,A,E,0,TARTU,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Southern,A,B,0,TARTU,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Northern,A,K,0,TARTU,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Southern,A,E,0,TARTU,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Northern,A,K,0,TARTU,0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Northern,A,K,0,TARTU,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Southern,A,B,0,TARTU,0.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Southern,A,E,0,TARTU,0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Southern,A,B,0,TARTU,0.178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Northern,A,H,0,TARTU,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Southern,A,E,0,TARTU,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Northern,B,K,0,TARTU,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Southern,B,E,0,TARTU,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Northern,B,H,0,TARTU,0.062,0,0,0,1,0.254,0,0,0,1,2.37,0,0,0,0,0
34,Southern,B,E,0,TARTU,0.097,0,0,0,1,4.318,1,4,138,1,17.242,1,8,132,1,2.744
35,Northern,B,F,0,TARTU,0.053,0,0,0,1,4.011,1,5,134,1,17.241,1,2,132,1,1.718
36,Northern,B,K,0,TARTU,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Northern,B,K,0,TARTU,0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Southern,B,B,0,TARTU,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Southern,B,B,0,TARTU,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Southern,B,B,0,TARTU,0.311,0,0,0,1,0.54,0,0,0,1,4.777,0,0,0,0,0
41,Southern,B,E,0,TARTU,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Southern,B,E,0,TARTU,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Southern,B,B,0,TARTU,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Northern,B,H,0,TARTU,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Northern,B,K,0,TARTU,0.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Southern,B,B,0,TARTU,0.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Northern,B,F,0,TARTU,0.042,0,0,0,1,6.205,0,0,0,1,2.566,0,0,0,0,0
48,Southern,B,E,0,TARTU,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Northern,B,H,0,TARTU,0.062,0,0,0,1,0,0,0,0,1,3.546,0,0,0,0,0
50,Northern,B,F,0,TARTU,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Northern,B,F,0,TARTU,0.016,0,0,0,1,2.427,0,0,0,1,2.338,0,0,0,0,0
52,Northern,B,K,0,TARTU,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Southern,B,B,0,TARTU,0.332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Northern,B,H,0,TARTU,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Southern,B,C,0,TARTU,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Southern,B,E,0,TARTU,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Southern,B,B,0,TARTU,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Southern,B,C,0,TARTU,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Northern,B,H,0,TARTU,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Northern,C,F,0,TARTU,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Northern,C,H,0,TARTU,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Northern,C,K,0,TARTU,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Northern,C,H,0,TARTU,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Northern,C,F,0,TARTU,0.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Northern,C,K,0,TARTU,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Southern,C,E,0,TARTU,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Southern,C,E,0,TARTU,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Northern,C,F,0,TARTU,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Southern,C,B,0,TARTU,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Southern,C,B,0,TARTU,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Southern,C,E,0,TARTU,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Southern,C,E,0,TARTU,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Southern,C,B,0,TARTU,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Northern,C,H,0,TARTU,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Southern,C,B,0,TARTU,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Northern,C,F,0,TARTU,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Southern,C,B,0,TARTU,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Northern,C,H,0,TARTU,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Southern,C,B,0,TARTU,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Southern,C,E,0,TARTU,0.066,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
81,Northern,C,F,0,TARTU,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Northern,C,F,0,TARTU,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Northern,C,H,0,TARTU,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Southern,C,C,0,TARTU,0.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Northern,C,K,0,TARTU,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Southern,C,B,0,TARTU,0.228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Southern,C,C,0,TARTU,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Southern,C,E,0,TARTU,0.081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Northern,C,K,0,TARTU,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Northern,C,K,0,TARTU,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Southern,D,E,0,HELSINKI,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Northern,D,I,0,HELSINKI,0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Northern,D,I,0,HELSINKI,0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Southern,D,C,0,HELSINKI,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Northern,D,I,0,HELSINKI,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Northern,D,I,0,HELSINKI,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Northern,D,K,0,HELSINKI,0.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Northern,D,G,0,HELSINKI,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Northern,D,K,0,HELSINKI,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Southern,D,B,0,HELSINKI,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Southern,D,B,0,HELSINKI,0.143,0,0,0,1,1.082,0,0,0,0,0,0,0,0,0,0
103,Southern,D,B,0,HELSINKI,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Southern,D,E,0,HELSINKI,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Southern,D,E,0,HELSINKI,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Northern,D,G,0,HELSINKI,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
